<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.BTC-USD,1,20230101,002200,16553.8100000,16554.1400000,16550.0000000,16550.1700000,35
GDAX.BTC-USD,1,20230101,002300,16551.4400000,16551.4400000,16546.7600000,16549.1900000,29
GDAX.BTC-USD,1,20230101,002400,16549.1900000,16550.3600000,16547.1700000,16548.9900000,10
GDAX.BTC-USD,1,20230101,002500,16548.9900000,16550.0000000,16547.4700000,16549.7900000,7
GDAX.BTC-USD,1,20230101,002600,16549.7900000,16550.8600000,16546.7600000,16550.0100000,29
GDAX.BTC-USD,1,20230101,002700,16551.5500000,16553.0700000,16549.7500000,16552.5200000,22
GDAX.BTC-USD,1,20230101,002800,16552.5500000,16553.9000000,16550.6900000,16553.9000000,6
GDAX.BTC-USD,1,20230101,002900,16553.2500000,16554.9000000,16551.0000000,16554.0100000,28
GDAX.BTC-USD,1,20230101,003000,16554.0100000,16554.0100000,16551.8900000,16552.9600000,4
GDAX.BTC-USD,1,20230101,003100,16552.9600000,16553.7200000,16549.0200000,16550.0900000,6
GDAX.BTC-USD,1,20230101,003200,16550.0900000,16551.8100000,16547.9000000,16551.8100000,5
GDAX.BTC-USD,1,20230101,003300,16551.8100000,16552.1300000,16548.2700000,16551.0300000,9
GDAX.BTC-USD,1,20230101,003400,16550.0300000,16553.0000000,16549.0000000,16549.1800000,16
GDAX.BTC-USD,1,20230101,003500,16548.6900000,16554.2400000,16545.7100000,16553.7400000,63
GDAX.BTC-USD,1,20230101,003600,16553.7900000,16554.1200000,16549.7300000,16550.5600000,11
GDAX.BTC-USD,1,20230101,003700,16551.1500000,16552.3600000,16549.6300000,16551.1500000,10
GDAX.BTC-USD,1,20230101,003800,16551.7500000,16552.2500000,16550.0000000,16550.9200000,3
GDAX.BTC-USD,1,20230101,003900,16550.0500000,16551.4900000,16547.7100000,16550.0800000,25
GDAX.BTC-USD,1,20230101,004000,16550.5300000,16551.5000000,16548.0200000,16549.5900000,10
GDAX.BTC-USD,1,20230101,004100,16549.5900000,16551.4900000,16548.8100000,16548.9000000,9
GDAX.BTC-USD,1,20230101,004200,16550.5100000,16551.1300000,16548.8100000,16549.5100000,4
GDAX.BTC-USD,1,20230101,004300,16549.5100000,16550.3700000,16547.0800000,16549.6600000,9
GDAX.BTC-USD,1,20230101,004400,16549.6700000,16549.9900000,16548.2400000,16549.8900000,7
GDAX.BTC-USD,1,20230101,004500,16549.8900000,16549.9900000,16548.0000000,16548.9900000,11
GDAX.BTC-USD,1,20230101,004600,16548.3900000,16549.2400000,16543.7400000,16545.8500000,31
GDAX.BTC-USD,1,20230101,004700,16545.8400000,16548.5800000,16544.7400000,16547.5700000,4
GDAX.BTC-USD,1,20230101,004800,16547.6700000,16547.6800000,16544.2900000,16546.4400000,11
GDAX.BTC-USD,1,20230101,004900,16545.5700000,16546.8800000,16544.9500000,16545.9300000,2
GDAX.BTC-USD,1,20230101,005000,16545.9200000,16546.8500000,16544.3900000,16545.5400000,12
GDAX.BTC-USD,1,20230101,005100,16545.0900000,16545.9400000,16543.0500000,16544.2900000,6
GDAX.BTC-USD,1,20230101,005200,16544.8400000,16548.1800000,16533.7900000,16542.1900000,29
GDAX.BTC-USD,1,20230101,005300,16543.1200000,16543.3900000,16537.4300000,16538.2200000,12
GDAX.BTC-USD,1,20230101,005400,16538.2200000,16539.8600000,16537.1600000,16539.7300000,25
GDAX.BTC-USD,1,20230101,005500,16539.3000000,16542.9600000,16538.9400000,16540.8000000,21
GDAX.BTC-USD,1,20230101,005600,16540.6600000,16540.6600000,16538.5100000,16539.3900000,12
GDAX.BTC-USD,1,20230101,005700,16539.4100000,16539.4300000,16536.7300000,16538.3700000,13
GDAX.BTC-USD,1,20230101,005800,16537.9300000,16539.0800000,16534.8300000,16538.8300000,19
GDAX.BTC-USD,1,20230101,005900,16538.7800000,16540.0000000,16537.3900000,16539.2200000,11
GDAX.BTC-USD,1,20230101,010000,16538.8200000,16539.0600000,16533.0700000,16535.7200000,12
GDAX.BTC-USD,1,20230101,010100,16536.0800000,16536.9000000,16534.5300000,16535.0100000,8
GDAX.BTC-USD,1,20230101,010200,16535.6200000,16536.8800000,16533.4400000,16535.7000000,5
GDAX.BTC-USD,1,20230101,010300,16535.7900000,16536.2700000,16533.1700000,16534.7800000,14
GDAX.BTC-USD,1,20230101,010400,16534.4800000,16537.5500000,16533.8000000,16533.8000000,13
GDAX.BTC-USD,1,20230101,010500,16535.6200000,16535.6200000,16532.4500000,16534.1200000,6
GDAX.BTC-USD,1,20230101,010600,16534.1200000,16537.3700000,16533.6100000,16537.3400000,3
GDAX.BTC-USD,1,20230101,010700,16537.3500000,16537.8600000,16534.2900000,16535.7300000,7
GDAX.BTC-USD,1,20230101,010800,16535.8500000,16537.9700000,16533.7400000,16536.7600000,17
GDAX.BTC-USD,1,20230101,010900,16537.4500000,16546.5300000,16535.1400000,16546.1300000,28
GDAX.BTC-USD,1,20230101,011000,16546.8000000,16552.6900000,16546.3600000,16552.6900000,20
GDAX.BTC-USD,1,20230101,011100,16552.7000000,16556.1100000,16550.7600000,16553.7800000,15
GDAX.BTC-USD,1,20230101,011200,16553.7700000,16553.7800000,16549.7800000,16552.0200000,8
GDAX.BTC-USD,1,20230101,011300,16552.0200000,16552.6300000,16550.1500000,16552.0800000,5
GDAX.BTC-USD,1,20230101,011400,16552.0800000,16556.1100000,16551.8200000,16554.9700000,17
GDAX.BTC-USD,1,20230101,011500,16554.9600000,16554.9600000,16551.5100000,16551.7100000,8
GDAX.BTC-USD,1,20230101,011600,16552.6800000,16552.6800000,16543.1300000,16543.1300000,12
GDAX.BTC-USD,1,20230101,011700,16544.1200000,16544.1200000,16535.3400000,16535.3400000,8
GDAX.BTC-USD,1,20230101,011800,16537.0500000,16537.4500000,16508.2300000,16509.5300000,55
GDAX.BTC-USD,1,20230101,011900,16509.5300000,16523.0800000,16498.1800000,16523.0800000,112
GDAX.BTC-USD,1,20230101,012000,16523.0100000,16526.9000000,16520.7300000,16523.3800000,16
GDAX.BTC-USD,1,20230101,012100,16522.5300000,16524.6300000,16520.1500000,16524.3000000,13
GDAX.BTC-USD,1,20230101,012200,16524.2700000,16529.2600000,16523.7700000,16528.9000000,15
GDAX.BTC-USD,1,20230101,012300,16528.8300000,16530.1500000,16523.0000000,16524.4800000,14
GDAX.BTC-USD,1,20230101,012400,16524.4700000,16524.4800000,16517.9700000,16521.4100000,13
